Mountain,Metres,Feet,Range,Location and Notes
Mount Everest,"8,848","29,029",Himalayas  ,Nepal/China
K2,"8,611","28,251",Karakoram  ,Pakistan/China
Kangchenjunga,"8,586","28,169",Himalayas  ,Nepal/India – Highest in India
Lhotse,"8,516","27,940",Himalayas  ,Nepal/China – Climbers ascend Lhotse Face in climbing Everest
Makalu,"8,485","27,838",Himalayas  ,Nepal/China
Cho Oyu,"8,201","26,906",Himalayas  ,"Nepal/China – Considered ""easiest"" eight-thousander"
Dhaulagiri,"8,167","26,795",Himalayas  ,Nepal – Presumed world's highest from 1808-1838
Manaslu,"8,163","26,781",Himalayas  ,Nepal
Nanga Parbat,"8,126","26,660",Himalayas  ,Pakistan
Annapurna,"8,091","26,545",Himalayas  ,Nepal – First eight-thousander to be climbed (1950)
Gasherbrum I,"8,080","26,509",Karakoram  ,Pakistan/China – Originally named K5
Broad Peak,"8,051","26,414",Karakoram  ,Pakistan/China – Originally named K3
Gasherbrum II,"8,035","26,362",Karakoram  ,Pakistan/China – Originally named K4
Shishapangma,"8,027","26,335",Himalayas  ,China
Gasherbrum III,"7,952","26,089",Karakoram  ,Pakistan
Gyachung Kang,"7,952","26,089",Himalayas  ,Nepal (Khumbu)/China
Annapurna II,"7,937","26,040",Himalayas  ,Nepal
Gasherbrum IV,"7,932","26,024",Karakoram  ,Pakistan
Himalchuli,"7,893","25,896",Himalayas  ,"Manaslu, Nepal"
Distaghil Sar,"7,885","25,869",Karakoram  ,Pakistan
Ngadi Chuli,"7,871","25,823",Himalayas  ,"Manaslu, Nepal"
Nuptse,"7,861","25,791",Himalayas  ,"Everest Massif, Nepal"
Khunyang Chhish,"7,852","25,761",Karakoram  ,Pakistan
Masherbrum,"7,821","25,659",Karakoram  ,Pakistan – Originally named K1
Nanda Devi,"7,816","25,643",Himalayas  ,India (Uttarakhand)
Chomo Lonzo,"7,804","25,604",Himalayas  ,"Makalu Massiff, Nepal/China"
Batura Sar,"7,795","25,574",Karakoram  ,Pakistan
Kanjut Sar,"7,790","25,558",Karakoram  ,Pakistan
Rakaposhi,"7,788","25,551",Karakoram  ,Pakistan
Namcha Barwa,"7,782","25,531",Himalayas  ,China
Kamet,"7,756","25,446",Himalayas  ,India (Uttarakhand)
Saltoro Kangri,"7,742","25,400",Karakoram  ,India (Jammu and Kashmir)/Pakistan
Jannu,"7,710","25,295",Himalayas  ,"Kangchenjunga, Nepal"
Tirich Mir,"7,708","25,289",Hindu Kush  ,Pakistan – #1 in Hindu Kush
Molamenqing,"7,703","25,272",Himalayas  ,"Shishapangma group, China"
Gurla Mandhata,"7,694","25,243",Himalayas (Nalakankar)  ,China
Saser Kangri,"7,672","25,171",Karakoram  ,India (Jammu and Kashmir)
Chogolisa,"7,665","25,148",Karakoram  ,Pakistan
Kongur Tagh,"7,649","25,095",Pamir or Kunlun Mountains  ,China
Shispare,"7,611","24,970",Karakoram  ,Pakistan
Silberzacken,"7,597","24,925",Himalaya  ,Pakistan
Changtse,"7,583","24,879",Himalayas  ,"Everest Massif, China"
Trivor,"7,577","24,859",Karakoram  ,Karakoram – Pakistan
Gangkhar Puensum,"7,570","24,836",Himalayas  ,Bhutan/China
Gongga Shan,"7,556","24,790",Daxue Shan  ,"Sichuan, China"
Annapurna III,"7,555","24,787",Himalayas  ,Nepal
Kula Kangri,"7,554","24,783",Himalayas  ,China  (possibly also Bhutan)
Muztagh Ata,"7,546","24,757",Kongur Tagh  ,China (Xinjiang)
Skyang Kangri,"7,545","24,754",Karakoram  ,Pakistan
Liankang Kangri,"7,535","24,721",Himalayas  ,Bhutan/China
Yukshin Gardan Sar,"7,530","24,705",Karakoram  ,Pakistan
Annapurna IV,"7,525","24,688",Himalayas  ,Nepal
Mamostong Kangri,"7,516","24,659",Karakoram  ,India (Jammu and Kashmir)
Ismoil Somoni Peak,"7,495","24,590",Pamir Mountains  ,Tajikistan
Noshaq,"7,492","24,580",Hindu Kush  ,Afghanistan – #1 in Afghanistan
Pumari Chhish,"7,492","24,580",Karakoram  ,Pakistan
Passu Sar,"7,476","24,528",Karakoram  ,Pakistan
Malubiting,"7,458","24,469",Karakoram  ,Pakistan
Gangapurna,"7,455","24,459",Annapurna Himalaya  ,Nepal
Muchu Chhish (Batura V),"7,453","24,452",Karakoram  ,Pakistan
Jengish Chokusu,"7,439","24,406",Tian Shan  ,China/Kyrgyzstan – #1 in Tian Shan
K12,"7,428","24,370",Karakoram  ,Pakistan (Jammu and Kashmir)/India
Sia Kangri,"7,422","24,350",Karakoram  ,Pakistan
Istor-o-Nal,"7,403","24,288",Hindu Kush  ,Pakistan
Ghent Kangri,"7,401","24,281",Karakoram  ,India (Jammu and Kashmir)/Pakistan
Haramosh Peak,"7,397","24,268",Karakoram  ,Pakistan
Kabru,"7,394","24,259",Himalayas  ,"Kanchenjunga, India (Sikkim)/Nepal"
Ultar,"7,388","24,239",Karakoram  ,Pakistan
Rimo I,"7,385","24,229",Karakoram  ,India (Jammu and Kashmir)
Sherpi Kangri,"7,380","24,213",Karakoram  ,Pakistan
Labuche Kang,"7,367","24,170",Himalayas  ,"near Cho Oyu, Nepal/China"
Kirat Chuli,"7,365","24,163",Himalayas  ,Nepal/India (Sikkim) border
Skil Brum,"7,360","24,147",Karakoram  ,"Pakistan – May also be given as 7,410 m"
Gimmigela Chuli,"7,350","24,114",Himalayas  ,Nepal/India (Sikkim) border
Bojohagur Duanasir,"7,329","24,045",Karakoram  ,Pakistan
Chamlang,"7,319","24,012",Himalayas  ,"Khumbu, Nepal"
Jomolhari / Chomolhari,"7,314","23,996",Himalayas  ,Bhutan/China
Baltoro Kangri,"7,312","23,990",Karakoram  ,Pakistan
Siguang Ri,"7,308","23,976",Himalayas  ,China
The Crown,"7,295","23,934",Karakoram  ,China (Xinjiang)
Gyala Peri,"7,294","23,930",Himalayas  ,China
Porong Ri,"7,292","23,924",Himalayas  ,China
Baintha Brakk,"7,285","23,901",Karakoram  ,Pakistan
Yutmaru Sar,"7,283","23,894",Karakoram  ,Pakistan
K6,"7,282","23,891",Karakoram  ,Pakistan – Also known as Baltistan Peak
Kangpenqing,"7,281","23,888",Himalayas  ,China
Mana Peak,"7,272","23,858",Himalayas  ,India (Uttarakhand) – SSE of Kamet
Muztagh Tower,"7,273","23,862",Karakoram  ,Pakistan
Diran,"7,257","23,809",Karakoram  ,Pakistan
Apsarasas Kangri,"7,245","23,770",Karakoram  ,China/India
