,Asian,Black,Divorced,Family Households,Female Population,"Hawaiian, Pacific Islander",Hispanic,Household Size,Households,Land Area,Male Population,Married Population,Married but Separated,"Married, no children","Married, w/children",Median Age,Native American,Never Married,Non Family Households,Now Married,Other,Pop. 2000 to Now,Pop. Density,Population,Population - 1990,Population - 2000,Population - 2010,Single Population,"Single, no children","Single, w/children",Two or More Races,Water Area,White,Widowed,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aventura,0.81,3.56,15.38,7684.0,51.88,0.0,36.36,2.13,14872.0,3.0,48.12,50.5,1.62,51.85,29.84,47.5,0.13,25.47,7188.0,48.88,0.00094,53.27,9354.0,31878.0,15498.0,20799.0,30840.0,49.5,10.27,8.04,1.1,1.0,57.95,8.66,11.47,11.87,12.55,13.24,13.23,12.62,12.87,12.67,12.27,7.36
Coral Gables,2.7,2.4750000000000005,8.450000000000001,6365.0,51.709999999999994,0.045000000000000005,63.00500000000001,2.695,10134.5,4.0,48.290000000000006,44.86,1.8199999999999998,48.48,31.709999999999997,34.55,0.06999999999999999,41.37,3769.5,43.035,0.00129,21.884999999999998,6589.0,29104.5,24026.5,23627.5,26225.5,55.14,10.575,9.23,1.23,0.0,30.345,5.325,12.600000000000001,12.829999999999998,13.475,14.620000000000001,14.760000000000002,14.155,14.655,14.91,15.219999999999999,3.8499999999999996
Coral Terrace,1.16,0.99,14.57,10646.0,53.06,0.0,83.84,3.22,14260.0,7.0,46.94,48.39,3.01,40.83,28.23,42.7,0.1,29.8,3614.0,45.38,0.0,4.94,6274.0,46324.0,43251.0,44142.0,43788.0,51.61,17.46,13.48,0.84,1.0,13.08,7.25,9.78,8.99,9.79,10.56,11.05,11.93,12.83,13.46,13.92,7.35
Country Club,1.0,6.42,12.36,15547.0,51.33,0.0,84.45,3.14,21053.0,6.0,48.67,49.66,4.47,32.14,32.31,38.0,0.18,34.03,5506.0,45.19,0.0009,34.63,11360.0,66343.0,30229.0,49279.0,63544.0,50.34,14.26,21.29,0.13,1.0,7.72,3.95,6.93,6.82,7.33,7.87,9.08,9.44,10.08,11.21,11.46,10.41
Cutler Bay,2.1,18.945,15.190000000000001,4774.5,49.845000000000006,0.06,59.6,3.5,6120.5,4.0,50.154999999999994,46.395,3.285,27.18,34.485,34.4,0.0,35.36,1346.0,43.11,0.013750000000000002,131.06,6892.0,21516.5,9348.0,12550.0,17710.5,53.605,13.995,24.345,1.235,0.0,16.695,3.06,6.92,6.76,7.035,8.469999999999999,9.355,10.015,10.875,11.504999999999999,12.375,7.125
Doral,2.8,1.83,11.47,12197.0,52.88,0.0,83.3,3.46,14287.0,56.0,47.13,56.26,2.6,27.87,45.63,35.4,0.02,29.23,2090.0,53.66,0.0,223.66,885.0,49430.0,5013.0,15272.0,39489.0,43.74,9.52,16.98,0.1,8.0,11.96,3.04,9.93,9.98,10.65,11.51,12.27,11.74,12.01,12.03,12.14,8.89
Florida City,0.0,31.8,13.61,3905.0,46.29,0.0,54.35,4.0,4812.0,280.0,53.71,35.21,3.77,23.84,27.35,33.1,0.24,47.31,907.0,31.44,9e-05,49.6,82.0,23041.0,12141.0,15402.0,18613.0,64.79,13.39,35.42,0.56,24.0,13.05,3.87,4.91,4.32,4.69,5.09,6.13,6.25,7.49,8.15,8.4,0.0
Fountainebleau,1.74,0.4,18.03,10069.0,52.05,0.17,92.77,3.16,13648.0,7.0,47.95,44.82,3.39,32.33,27.8,40.3,0.12,30.56,3579.0,41.43,0.00125,11.87,6553.0,43085.0,26998.0,38515.0,37664.0,55.18,21.68,18.19,0.03,1.0,4.64,6.58,6.36,5.69,6.18,7.27,8.04,8.4,8.73,9.41,9.86,13.72
Glenvar Heights,3.95,9.25,11.93,7359.0,47.92,0.0,59.41,2.67,11962.0,8.0,52.08,47.69,2.18,40.73,29.08,38.7,0.16,34.65,4603.0,45.51,0.00078,7.94,4073.0,32153.0,26547.0,29788.0,31407.0,52.31,16.39,13.81,1.14,0.0,26.02,5.73,11.47,11.77,12.57,13.38,13.17,13.24,14.24,14.02,15.01,4.71
Goulds,0.56,34.27,7.09,3214.0,53.3,0.0,48.26,3.68,3832.0,13.0,46.7,42.3,6.89,20.19,31.21,33.3,0.48,43.92,618.0,35.41,0.00347,70.2,1093.0,14399.0,8001.0,8460.0,12253.0,57.7,22.96,25.64,1.11,0.0,14.97,6.69,6.66,6.44,6.78,7.87,8.93,9.63,10.76,11.7,12.59,6.77
